positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
256,83,204,2.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
257,83,204,2.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
258,83,204,3,222,2A,0,0,0,0,0,greenhouse,2015,NA
259,83,204,3.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
260,83,204,3.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
261,96,122,4.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
262,96,122,4.9,222,2A,1,1,2,2,12,greenhouse,2015,NA
263,96,122,5,222,2A,0,0,0,0,0,greenhouse,2015,NA
264,96,122,5.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
265,96,122,5.2,222,2A,1,1,2,2,20,greenhouse,2015,NA
266,30,38,6.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
267,30,38,6.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
268,30,38,7,222,2A,0,0,0,0,0,greenhouse,2015,NA
269,30,38,7.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
270,30,38,7.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
271,183,138,8.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
272,183,138,8.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
273,183,138,9,222,2A,0,0,0,0,0,greenhouse,2015,NA
274,183,138,9.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
276,56,15,10.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
277,56,15,10.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
278,56,15,11,222,2A,0,0,0,0,0,greenhouse,2015,NA
279,56,15,11.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
280,56,15,11.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
281,27,131,12.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
282,27,131,12.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
283,27,131,13,222,2A,0,0,0,0,0,greenhouse,2015,NA
284,27,131,13.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
285,27,131,13.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
286,93,106,14.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
287,93,106,14.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
288,93,106,15,222,2A,1,1,0,0,0,greenhouse,2015,NA
289,93,106,15.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
290,93,106,15.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
291,108,122,16.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
292,108,122,16.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
293,108,122,17,222,2A,0,0,0,0,0,greenhouse,2015,NA
294,108,122,17.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
295,108,122,17.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
296,40,127,18.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
297,40,127,18.9,222,2A,1,0,0,0,0,greenhouse,2015,NA
298,40,127,19,222,2A,0,0,0,0,0,greenhouse,2015,NA
299,40,127,19.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
300,40,127,19.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
301,118,58,20.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
302,118,58,20.9,222,2A,1,1,0,0,0,greenhouse,2015,NA
303,118,58,21,222,2A,0,0,0,0,0,greenhouse,2015,NA
304,118,58,21.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
305,118,58,21.2,222,2A,1,1,0,0,0,greenhouse,2015,NA
306,111,6,22.8,222,2A,1,1,20,5,22,greenhouse,2015,NA
307,111,6,22.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
308,111,6,23,222,2A,0,0,0,0,0,greenhouse,2015,NA
309,111,6,23.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
310,111,6,23.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
311,13,139,24.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
312,13,139,24.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
313,13,139,25,222,2A,1,0,0,0,0,greenhouse,2015,NA
314,13,139,25.1,222,2A,1,0,0,0,0,greenhouse,2015,NA
315,13,139,25.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
316,175,60,26.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
317,175,60,26.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
318,175,60,27,222,2A,1,0,0,0,0,greenhouse,2015,NA
319,175,60,27.1,222,2A,1,1,0,0,0,greenhouse,2015,NA
320,175,60,27.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
321,92,126,28.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
322,92,126,28.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
323,92,126,29,222,2A,0,0,0,0,0,greenhouse,2015,NA
324,92,126,29.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
325,92,126,29.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
